dict_a,dict_b,shared_headwords,root_agrees,pct,ci95_low,ci95_high
WIL,SKD,90,8,8.9,4.6,16.6
WIL,VCP,1690,120,7.1,6.0,8.4
WIL,Apte,74,13,17.6,10.6,27.8
WIL,AP,78,13,16.7,10.0,26.5
WIL,SHS,206,31,15.0,10.8,20.6
WIL,KRM,46,7,15.2,7.6,28.2
WIL,MW,1074,90,8.4,6.9,10.2
WIL,PWG,4257,495,11.6,10.7,12.6
WIL,PW,210,28,13.3,9.4,18.6
SKD,VCP,54,43,79.6,67.1,88.2
SKD,Apte,79,60,75.9,65.5,84.0
SKD,AP,57,39,68.4,55.5,79.0
SKD,SHS,3,1,33.3,6.1,79.2
SKD,MW,13,5,38.5,17.7,64.5
SKD,PWG,31,20,64.5,46.9,78.9
SKD,PW,2,1,50.0,9.5,90.5
VCP,Apte,79,64,81.0,71.0,88.1
VCP,AP,85,68,80.0,70.3,87.1
VCP,SHS,181,156,86.2,80.4,90.5
VCP,KRM,13,3,23.1,8.2,50.3
VCP,MW,191,106,55.5,48.4,62.4
VCP,PWG,910,662,72.7,69.8,75.5
VCP,PW,29,16,55.2,37.5,71.6
Apte,AP,164,155,94.5,89.9,97.1
Apte,SHS,23,18,78.3,58.1,90.3
Apte,MW,11,3,27.3,9.7,56.6
Apte,PWG,47,37,78.7,65.1,88.0
Apte,PW,1,1,100.0,20.7,100.0
AP,SHS,27,24,88.9,71.9,96.1
AP,MW,11,5,45.5,21.3,72.0
AP,PWG,50,38,76.0,62.6,85.7
AP,PW,1,1,100.0,20.7,100.0
SHS,MW,11,6,54.5,28.0,78.7
SHS,PWG,104,89,85.6,77.6,91.1
SHS,PW,5,4,80.0,37.6,96.4
KRM,MW,12,4,33.3,13.8,60.9
KRM,PWG,37,17,45.9,31.0,61.6
KRM,PW,4,2,50.0,15.0,85.0
MW,PWG,782,502,64.2,60.8,67.5
MW,PW,69,44,63.8,52.0,74.1
PWG,PW,521,489,93.9,91.5,95.6
